Timestamp,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:40:49.878Z,14.7,0.1,-2.4
2026-07-18T11:40:50.039Z,14.9,1.3,-2.5
2026-07-18T11:40:50.194Z,14.5,2.2,-2.8
2026-07-18T11:40:50.346Z,15,1.5,-2.5
2026-07-18T11:40:50.503Z,14.8,-2.4,-2.2
2026-07-18T11:40:50.661Z,14.5,1.2,-2.2
2026-07-18T11:40:50.815Z,13.4,-7.9,-3.7
2026-07-18T11:40:50.974Z,14.8,3.2,-2.1
2026-07-18T11:40:51.129Z,14.8,-5,-2.9
2026-07-18T11:40:51.281Z,12.2,-11.4,-4.8
2026-07-18T11:40:51.443Z,14.6,-13.9,-2.7
2026-07-18T11:40:51.598Z,12.2,-5,-4.3
2026-07-18T11:40:51.753Z,15.3,27.7,-1.5
2026-07-18T11:40:51.908Z,17.8,11,1.7
2026-07-18T11:40:52.066Z,14.4,-13.2,-2.5
2026-07-18T11:40:52.224Z,14.8,-22.3,-3
2026-07-18T11:40:52.378Z,12.9,9.5,-4.6
2026-07-18T11:40:52.532Z,20.6,57.3,4
2026-07-18T11:40:52.686Z,14.3,10.5,-1.7
2026-07-18T11:40:52.842Z,14.1,-48,-4.4
2026-07-18T11:40:53.001Z,11.7,-13.9,-5.7
2026-07-18T11:40:53.154Z,14.6,23.9,-2.6
2026-07-18T11:40:53.311Z,15.8,52.5,-1.2
2026-07-18T11:40:53.468Z,16.4,-12,1.8
2026-07-18T11:40:53.625Z,16.4,-31.5,-4.4
2026-07-18T11:40:53.778Z,14.1,7.5,-2.9
2026-07-18T11:40:53.934Z,18.9,23.7,0.5
2026-07-18T11:40:54.089Z,13.9,-30.1,-2.9
2026-07-18T11:40:54.244Z,13.9,-19.6,-3.2
2026-07-18T11:40:54.404Z,14.6,29.5,-2.9
2026-07-18T11:40:54.556Z,20.1,34.5,7.3
2026-07-18T11:40:54.714Z,17.5,-60.5,-6.7
2026-07-18T11:40:54.866Z,10.4,-25,-6.9
2026-07-18T11:40:55.028Z,14.8,7.2,-2.3
2026-07-18T11:40:55.180Z,20.8,62.1,4
2026-07-18T11:40:55.336Z,15.9,-10.6,-0.5
2026-07-18T11:40:55.493Z,10.2,-33.8,-7.8
2026-07-18T11:40:55.648Z,14.5,-14.1,-2.8
2026-07-18T11:40:55.807Z,14.9,25.2,-2
2026-07-18T11:40:55.964Z,14.5,12.7,-2
2026-07-18T11:40:56.115Z,14.7,-28.7,-2.7
2026-07-18T11:40:56.270Z,18,4.6,1.6
2026-07-18T11:40:56.427Z,17.4,-4.4,1
2026-07-18T11:40:56.581Z,10.3,-0.8,-7.3
2026-07-18T11:40:56.739Z,11.9,9.9,-4.7
2026-07-18T11:40:56.892Z,28.9,6.8,12.8
2026-07-18T11:40:57.047Z,18.3,14.4,1.4
