Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:33:54.491Z,412,1,Safe
2026-07-18T12:33:54.599Z,412,1,Safe
2026-07-18T12:33:54.702Z,412,1,Safe
2026-07-18T12:33:54.807Z,412,1,Safe
2026-07-18T12:33:54.914Z,412,1,Safe
2026-07-18T12:33:55.018Z,412,1,Safe
2026-07-18T12:33:55.124Z,412,1,Safe
2026-07-18T12:33:55.230Z,411,1,Safe
2026-07-18T12:33:55.335Z,411,1,Safe
2026-07-18T12:33:55.440Z,411,1,Safe
2026-07-18T12:33:55.549Z,412,1,Safe
2026-07-18T12:33:55.653Z,412,1,Safe
2026-07-18T12:33:55.756Z,412,1,Safe
2026-07-18T12:33:55.864Z,411,1,Safe
2026-07-18T12:33:55.968Z,411,1,Safe
2026-07-18T12:33:56.073Z,411,1,Safe
2026-07-18T12:33:56.182Z,411,1,Safe
2026-07-18T12:33:56.287Z,411,1,Safe
2026-07-18T12:33:56.390Z,411,1,Safe
2026-07-18T12:33:56.498Z,411,1,Safe
2026-07-18T12:33:56.602Z,412,1,Safe
2026-07-18T12:33:56.706Z,410,1,Safe
2026-07-18T12:33:56.814Z,411,1,Safe
2026-07-18T12:33:56.918Z,411,1,Safe
2026-07-18T12:33:57.023Z,410,1,Safe
2026-07-18T12:33:57.131Z,411,1,Safe
2026-07-18T12:33:57.235Z,411,1,Safe
2026-07-18T12:33:57.339Z,411,1,Safe
2026-07-18T12:33:57.449Z,410,1,Safe
2026-07-18T12:33:57.553Z,411,1,Safe
2026-07-18T12:33:57.657Z,411,1,Safe
2026-07-18T12:33:57.765Z,409,1,Safe
2026-07-18T12:33:57.868Z,411,1,Safe
2026-07-18T12:33:57.973Z,410,1,Safe
2026-07-18T12:33:58.081Z,411,1,Safe
2026-07-18T12:33:58.185Z,410,1,Safe
2026-07-18T12:33:58.290Z,411,1,Safe
2026-07-18T12:33:58.396Z,412,1,Safe
2026-07-18T12:33:58.502Z,410,1,Safe
2026-07-18T12:33:58.606Z,411,1,Safe
2026-07-18T12:33:58.714Z,410,1,Safe
2026-07-18T12:33:58.819Z,410,1,Safe
2026-07-18T12:33:58.922Z,410,1,Safe
2026-07-18T12:33:59.029Z,411,1,Safe
2026-07-18T12:33:59.136Z,409,1,Safe
2026-07-18T12:33:59.240Z,410,1,Safe
2026-07-18T12:33:59.347Z,410,1,Safe
2026-07-18T12:33:59.453Z,410,1,Safe
2026-07-18T12:33:59.556Z,412,1,Safe
2026-07-18T12:33:59.663Z,410,1,Safe
2026-07-18T12:33:59.769Z,410,1,Safe
2026-07-18T12:33:59.872Z,410,1,Safe
2026-07-18T12:33:59.980Z,410,1,Safe
2026-07-18T12:34:00.085Z,410,1,Safe
2026-07-18T12:34:00.189Z,410,1,Safe
2026-07-18T12:34:00.296Z,410,1,Safe
2026-07-18T12:34:00.401Z,410,1,Safe
2026-07-18T12:34:00.505Z,409,1,Safe
2026-07-18T12:34:00.613Z,410,1,Safe
2026-07-18T12:34:00.718Z,411,1,Safe
2026-07-18T12:34:00.822Z,411,1,Safe
2026-07-18T12:34:00.930Z,410,1,Safe
2026-07-18T12:34:01.034Z,410,1,Safe
2026-07-18T12:34:01.139Z,410,1,Safe
2026-07-18T12:34:01.247Z,409,1,Safe
2026-07-18T12:34:01.351Z,409,1,Safe
2026-07-18T12:34:01.455Z,409,1,Safe
2026-07-18T12:34:01.564Z,410,1,Safe
2026-07-18T12:34:01.668Z,410,1,Safe
2026-07-18T12:34:01.773Z,409,1,Safe
2026-07-18T12:34:01.879Z,409,1,Safe
2026-07-18T12:34:01.984Z,409,1,Safe
2026-07-18T12:34:02.089Z,410,1,Safe
2026-07-18T12:34:02.196Z,410,1,Safe
2026-07-18T12:34:02.301Z,411,1,Safe
2026-07-18T12:34:02.405Z,409,1,Safe
2026-07-18T12:34:02.512Z,409,1,Safe
2026-07-18T12:34:02.617Z,409,1,Safe
2026-07-18T12:34:02.721Z,409,1,Safe
2026-07-18T12:34:02.828Z,409,1,Safe
2026-07-18T12:34:02.935Z,410,1,Safe
2026-07-18T12:34:03.039Z,409,1,Safe
2026-07-18T12:34:03.145Z,410,1,Safe
2026-07-18T12:34:03.252Z,409,1,Safe
2026-07-18T12:34:03.355Z,410,1,Safe
2026-07-18T12:34:03.464Z,409,1,Safe
2026-07-18T12:34:03.568Z,408,1,Safe
2026-07-18T12:34:03.672Z,409,1,Safe
2026-07-18T12:34:03.779Z,409,1,Safe
2026-07-18T12:34:03.884Z,409,1,Safe
2026-07-18T12:34:03.988Z,409,1,Safe
2026-07-18T12:34:04.094Z,408,1,Safe
2026-07-18T12:34:04.199Z,408,1,Safe
2026-07-18T12:34:04.305Z,409,1,Safe
2026-07-18T12:34:04.410Z,410,1,Safe
2026-07-18T12:34:04.517Z,410,1,Safe
2026-07-18T12:34:04.622Z,408,1,Safe
2026-07-18T12:34:04.726Z,408,1,Safe
2026-07-18T12:34:04.834Z,408,1,Safe
2026-07-18T12:34:04.938Z,408,1,Safe
